Portuguese,Spanish
tenente,teniente
bebida,beber
teremos,tendremos
tv,TELEVISOR
através,a través de
conselho,consejo
avião,avión
juro,interés
saindo,partida
ler,leer
nela,en ella
tocar,tocar
breve,breve
pronta,listo
ligue,llamar
frio,frío
bar,bar
anda,vamos
missão,misión
chave,llave
lamento,lamento
tinham,tenía
impossível,imposible
peça,parte
igreja,iglesia
namorado,novio
terrível,horrible
maravilhoso,maravilloso
namorada,novia
haver,ser
maioria,mayoría
tendo,teniendo
segredo,secreto
leva,el toma
verdadeiro,VERDADERO
viva,vivo
naquele,en que
saiba,saber
roupa,ropa
sete,Siete
vítima,víctima
drogas,drogas
nave,barco
assunto,sujeto
mandou,enviado
imediatamente,inmediatamente
diferentes,diferente
ajude,ayuda
cair,caer
tu,tú
fazemos,nosotros lo hacemos
ouro,oro
loucura,locura
time,equipo
vidas,vidas
pobre,pobre
ouvindo,escuchando
mar,mar
né,¿bien?
faremos,lo haremos
puder,poder
vista,vista
começa,comenzar
alma,alma
aposto,Te apuesto
desses,de estos
fazia,hizo
paul,pablo
general,general
mestre,maestro
adoro,adoro
senhorita,extrañar
celular,Teléfono móvil
oficial,oficial
cavalo,caballo
companhia,compañía
somente,solo
esquecer,olvidar
